t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,reset
174,-67.3634376403202,-0.35791938585359695,3.3655982249340255,-3.7596765247853945,3.6191469590028063,0.3319468329628954,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-66.94380705452978,0.12671455044691082,0.0
175,-66.26380292593161,0.9176099771443917,2.2316540191727103,2.251008078206124,0.8475029185080278,3.643358112955361,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879703,3.4855409435879703,-64.61856233796496,0.3001876870639426,0.0
176,-63.32409294917032,-1.3282304414867063,3.410726790300616,-1.4746105992158975,1.0408494322114363,-0.6536729974520052,1.2550849054544402,1.2550849054544402,2.525064149461218,2.525064149461218,3.48554094358797,3.48554094358797,-62.56495609201797,-0.24191049861519331,0.0
177,-61.53981354045773,-0.8071964479204241,1.9477886665783664,0.5803077824162024,-0.41917050376489673,0.9257730711669099,1.2550849054544402,1.2550849054544402,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-62.38352247022706,-0.22288554984798434,0.0
178,-65.43915433171624,-1.650377342445636,-5.04616244198264,-0.6939024560957765,-4.2530863385662965,-0.357091157203528,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879707,3.4855409435879707,-63.1217290256266,-0.8935793830416666,0.0
179,-58.6482195763808,3.429605633077691,6.9858336065141415,5.891023429520754,5.2431446366941685,3.690969252069152,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-58.14116693873256,2.742192979790114,0.0
180,-57.430611370340706,8.303290264625105,2.4443845788950007,6.243227567652028,-0.462491922393963,1.7440534219544088,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-59.26397622005134,9.70527869577791,0.0
181,-55.888033029730934,12.087895287771861,1.1998523667788068,4.102914441634072,-0.9185187969685428,-0.5210159866857174,1.25508490545444,1.25508490545444,2.5250641494612154,2.5250641494612154,3.4855409435879707,3.4855409435879707,-55.52281875494973,13.871158473840396,0.0
182,-57.81717462608961,15.646518838576082,-2.832241844302888,3.250936918824233,-2.7341209897335625,-0.7140077761198551,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-55.424227211190725,16.236302542133416,0.0
183,-60.475837565120436,17.57248217606642,-3.76959358896005,1.4080354022976578,-1.6863807723402258,-1.3722934053005909,1.25508490545444,1.25508490545444,2.5250641494612176,2.5250641494612176,3.4855409435879703,3.4855409435879703,-58.03947575500003,17.672856440871698,0.0
184,-60.4031438155293,20.91084224703076,0.008459609109085164,3.087199262195889,1.5000647057182501,0.4070861712181202,1.2550849054544402,1.2550849054544402,2.525064149461216,2.525064149461216,3.4855409435879703,3.4855409435879703,-59.12532136025034,21.64071834472066,0.0
185,-60.68240204657123,21.277068483281454,0.29824913252011265,0.08357128090203014,0.7943235616669947,-1.5817849080325046,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-59.002863351452746,21.257700126970754,0.0
186,-60.99687480682268,20.068764337190878,-0.0852031861875211,-2.0824845461201726,0.1075335577052613,-1.9224876117082017,1.25508490545444,1.25508490545444,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-62.565403678968934,22.43655743499459,0.0
187,-58.954943078598205,26.601938109736373,2.4403940010463177,7.164080898255513,1.517565769585349,4.590461176304613,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.48554094358797,3.48554094358797,-58.163110451215374,28.320181604648212,0.0
188,-57.69284137627394,30.55459351238911,1.6988476676786224,5.33240961863804,0.20022209156436022,0.845558221217301,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-57.76786482367343,29.273317708227367,0.0
189,-50.68373945536973,29.60387930551836,7.9753943532618,-1.6427851247887606,3.7434760005097165,-3.714914657428488,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-50.34765386654912,29.76278354540504,0.0
190,-48.27243405491448,29.98633527459182,3.0468441938752715,-0.8295064146041984,-1.3133951580480123,-1.0744140386747274,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-48.44241885189774,29.20022310253285,0.0
191,-44.06234413597397,25.55805652183691,3.855956195046722,-5.474468114295917,-0.07570917332104576,-3.1564879570805044,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879703,3.4855409435879703,-44.66201085488807,25.391125076631166,0.0
192,-43.68288919349681,24.59061455562989,-0.23007140413898108,-1.5340155345291313,-2.4142242112681,0.9819121414740457,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879707,3.4855409435879707,-44.396043423415264,25.798969959865847,0.0
193,-45.78125354696549,27.89683004416911,-3.415397149795293,4.520234411641983,-2.863872429305073,3.9397167280946106,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-46.89427966867593,26.329455151087934,0.0
194,-49.82034829404361,26.420079826856874,-5.336662055080079,-0.8313719751256805,-2.3142148620688214,-1.4782816748241765,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-51.59032377965896,26.214607238270695,0.0
195,-50.268857455367346,28.20467372240954,-0.600597773901149,1.603236379023278,1.7969758333818948,0.8034204752024445,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.48554094358797,3.48554094358797,-48.94035333730462,30.15666053283891,0.0
196,-52.246050892936246,29.910560731278874,-1.4569360169984242,2.057878869182194,0.2497633157361585,0.6000394774071609,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-51.8259257193015,30.955264060866366,0.0
197,-53.59503935933888,30.895456222269342,-1.226922087872087,1.0566547584913175,0.23824696399724654,-0.3336965961010061,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879703,3.4855409435879703,-53.33069984448887,30.92173578456097,0.0
198,-59.06695736073193,31.052098779383144,-6.078325246417686,-0.13209354729556744,-2.7296528597902614,-0.8322982204574679,1.2550849054544402,1.2550849054544402,2.525064149461218,2.525064149461218,3.48554094358797,3.48554094358797,-58.7703141709655,29.35223232284998,0.0
199,-60.556956340580584,21.92268248611356,-1.8651193974883782,-10.972177414399532,1.3188983455125363,-6.668083498826618,1.2550849054544402,1.2550849054544402,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-59.450244463527625,21.531025122305103,0.0
200,-56.2250742296841,17.065328635380652,5.9119441285081855,-6.62053066753645,5.084812866091217,-0.2422085040974471,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879707,3.4855409435879707,-56.034715609294246,16.416856359832085,0.0
201,-59.203724162772616,7.750679869758683,-2.336969032312103,-9.863514139026027,-2.6904098256270093,-1.992033989645663,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-61.46942178131847,8.933488173481997,0.0
202,-64.4222641160429,6.946504658076304,-6.819164263639095,-0.1284987830445541,-3.7352438440379165,4.8462961211568025,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-63.765516770493996,6.598497459590675,0.0
203,-63.15271306979216,7.915165907793131,1.0571607839732007,3.17136505323986,3.0357467815824535,3.944533525444421,1.25508490545444,1.25508490545444,2.5250641494612154,2.5250641494612154,3.4855409435879707,3.4855409435879707,-63.00647005248373,7.466626234669161,0.0
204,-62.019525512303275,4.845376099582147,2.4113553101708605,-2.462996631856006,2.055192416884273,-1.6411552199418704,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-60.38295361512243,5.737334213574033,0.0
205,-59.09874062325409,3.456287327800269,3.8622363848025287,-1.8947099619472616,1.702803650858795,-0.35277546147622774,1.25508490545444,1.25508490545444,2.5250641494612176,2.5250641494612176,3.4855409435879703,3.4855409435879703,-56.43556815584327,3.788856278277585,0.0
206,-57.78982547115739,3.0772965097942637,1.5942849853175782,-0.27406737924504676,-0.6126410124240202,0.7979730034595334,1.2550849054544402,1.2550849054544402,2.525064149461216,2.525064149461216,3.4855409435879703,3.4855409435879703,-58.51399683154386,4.615865717833996,0.0
207,-61.83501646549484,-1.4537740803602182,-5.238143560146115,-4.906137979959415,-4.239551679926153,-2.3684186085309906,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-62.63876960303868,-2.6531014357324327,0.0
208,-61.775956251185264,-1.839026990449871,-0.8276497710642197,-0.6209956638633702,0.8045019986392168,1.5114359630626573,1.25508490545444,1.25508490545444,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-61.972850671505974,-1.3936906593620537,0.0
209,-65.1034777283701,3.7962950992913562,-3.407745636209998,7.30550958734344,-1.1691400320826113,5.252220211775505,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.48554094358797,3.48554094358797,-65.38985497617382,2.2805732657115314,0.0
210,-65.24683486758454,-3.541308312349022,-0.0880414383083572,-7.582485333896436,1.448415139376562,-6.4920332251297115,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-64.49553382346764,-4.898556703352734,0.0
211,-62.71389005366925,0.21924643682578804,3.5724900478193944,2.9399550309862743,2.738354439259165,3.429523650847864,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-64.21229554725052,0.7559276766595984,0.0
212,-61.17905283082815,-7.197476360277407,2.3376321657514287,-7.7088264110214375,0.42147688099476976,-4.7798813570228145,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-62.776090468177955,-6.254880305374299,0.0
213,-58.722076039273155,-12.27367687971643,2.6525210966929467,-6.631144250143713,0.35932283296310086,-1.3641923972646972,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879703,3.4855409435879703,-58.92844592092663,-13.087751178651182,0.0
214,-63.942570549034365,-12.988641247662475,-6.37958304153549,-0.30010340107561806,-5.117048583897091,3.1230868549257083,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879707,3.4855409435879707,-62.00085286289688,-13.926528374508434,0.0
215,-66.43698627476306,-17.514802803071934,-3.9816823747978667,-3.9268014237732456,-0.7348973515472137,-0.8128782638108492,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-65.05113555060056,-17.63607231622096,0.0
216,-67.70967093458397,-20.756358944704996,-1.1286770292384456,-3.4665037709421918,1.357296714081286,-0.07045815875967021,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-69.20784322164182,-18.002382411520223,0.0
217,-67.1715747922482,-21.950178931449756,1.381019316379435,-0.845360732680585,2.0292892049249347,1.4990805179685838,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.48554094358797,3.48554094358797,-67.35423221749923,-20.229918180148754,0.0
218,-63.358080262087356,-21.609166756622038,5.063852132428527,1.1631754489835266,2.9935110421675466,1.7961566112372673,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-65.01138337445397,-20.434388454920768,0.0
219,-62.16349818116873,-20.263764253398953,1.799240919472056,2.124471214515131,-0.6557535420439384,1.3093287749028126,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879703,3.4855409435879703,-61.303039140714745,-20.669002247693065,0.0
220,-58.66061817530062,-24.984046930207462,3.5127408271093152,-5.312389494021508,0.725816256766447,-3.7907888366675664,1.2550849054544402,1.2550849054544402,2.525064149461218,2.525064149461218,3.48554094358797,3.48554094358797,-58.965866042134735,-23.082109692921435,0.0
221,-60.988306404918,-26.94827251919247,-2.9960790483949387,-2.9878833892855,-3.492877520833625,-0.2248103623097708,1.2550849054544402,1.2550849054544402,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-58.83498891784479,-27.072762691849636,0.0
222,-61.25930284206392,-22.175784495096106,-1.274048993460367,5.968924514915484,-0.45193700379511226,5.129216452729327,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879707,3.4855409435879707,-58.143787990468915,-23.390748995597917,0.0
223,-53.927552091117924,-20.61337020281273,8.574055377235624,2.9680806616359465,5.554269757836538,0.3883788767408394,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-53.01198700396844,-19.17724115355095,0.0
224,-53.87488364175867,-21.465493205066068,0.9514347508302929,-1.3253226250139818,-2.1294982238258493,-2.3416831360084447,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-53.81145780932908,-20.679408512513287,0.0
225,-53.34220266461981,-19.14301669367758,-0.42467202002187276,1.9527294086551596,-1.6901771886489785,0.9353222805221617,1.25508490545444,1.25508490545444,2.5250641494612154,2.5250641494612154,3.4855409435879707,3.4855409435879707,-52.96196556516405,-18.73267408570283,0.0
226,-51.94606324972651,-24.650318413182433,0.9942541821384712,-6.357611930126011,0.12281725763920148,-4.456050950614502,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-51.73033967565487,-25.213729013419037,0.0
227,-49.90082500139684,-20.249138971322033,2.271162858828805,4.332199999667742,0.7957962712782076,4.375873187898815,1.25508490545444,1.25508490545444,2.5250641494612176,2.5250641494612176,3.4855409435879703,3.4855409435879703,-49.385140631863685,-23.114633892699683,0.0
228,-49.430077447556485,-20.607903393697363,0.5031781565698457,0.685561375687513,-0.6992072980023385,-0.30225022324703144,1.2550849054544402,1.2550849054544402,2.525064149461216,2.525064149461216,3.4855409435879703,3.4855409435879703,-49.7042896856892,-20.688199727161198,0.0
229,-47.90962653252031,-17.680506510153094,1.3980891775828324,3.1740992144448983,0.23036219384679302,1.3251267472770294,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-47.6413315173245,-19.68453156645987,0.0
230,-52.02548898309149,-19.64640427976657,-4.936519351739403,-2.2680045741644843,-3.5978332583641732,-2.6210113626943317,1.25508490545444,1.25508490545444,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-51.111097477599415,-20.585653567162797,0.0
231,-57.09744876499828,-18.561191514481767,-6.59432506437363,0.550046630648362,-2.4665556120653447,0.5506394280301135,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.48554094358797,3.48554094358797,-56.340997610554176,-19.157397415188225,0.0
232,-52.76893718762298,-20.839899425757828,5.116176315245461,-2.519437610106608,5.800434050167868,-1.56034347648992,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-52.92415563780407,-20.140572697392173,0.0
233,-50.61709850163327,-19.552506959339556,4.077079039628984,1.2698054468553241,1.8121355762360531,1.5591316441369254,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-50.19358600456179,-17.994779522578625,0.0
234,-54.045625713733884,-23.552064979098194,-3.920892287180373,-4.225620977928351,-3.908378378137437,-2.554554197825769,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-53.6413413264629,-22.431650536424847,0.0
235,-51.716011331324886,-20.792043295487684,1.7394481294332822,2.8564471894637222,1.6713762495982571,3.0647966673664446,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879703,3.4855409435879703,-51.216065551323325,-19.34936070099912,0.0
236,-49.563741690624106,-18.196340903312826,2.917656590453126,3.82999237419231,1.3837980158142262,1.8453366342835889,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879707,3.4855409435879707,-50.02363167873266,-20.574487639775775,0.0
237,-45.567381473544785,-16.81439651784325,4.752565127460904,1.7442343008440369,1.6468516254187557,-0.4469811103875516,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-47.5308905204757,-17.33990779074773,0.0
238,-49.72510074326573,-8.96021185513344,-4.952513584642931,8.683622677213439,-4.972737390957242,3.8601921078813133,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-48.39910277145358,-9.91516123317902,0.0
239,-51.00771533455293,-10.478161451747514,-2.7455095988975584,-1.6047319422165813,-0.7860540917701684,-4.390172519905172,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.48554094358797,3.48554094358797,-50.37653643634906,-10.901444851073864,0.0
240,-46.99051979374599,-3.5772807194124283,4.8138022112506595,6.484775562033385,4.080333458140903,2.887034999834852,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-45.76613347993155,-3.3687648946040722,0.0
241,-49.63787963596164,-3.1319016778220234,-2.186780047993544,0.6448691542144243,-2.3812202858718097,-2.201858586634189,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879703,3.4855409435879703,-50.597791195924046,-5.383383588755216,0.0
242,-49.58797182051828,-5.875002634033999,-0.5709172714645319,-4.224248624964156,-0.05042311299333768,-3.7572028434989635,1.2550849054544402,1.2550849054544402,2.525064149461218,2.525064149461218,3.48554094358797,3.48554094358797,-48.33264536110374,-7.0486079774098505,0.0
243,-52.72749587113843,-6.251615242351042,-3.58757266031425,-1.3032324651136928,-1.780105907854815,0.1370304586032871,1.2550849054544402,1.2550849054544402,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-51.80134287098534,-7.155046726388785,0.0
244,-54.637570445973076,-11.557979547444402,-2.373274593848584,-5.914756554856261,-0.03399550463238654,-2.6319681695853037,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879707,3.4855409435879707,-54.062267294215665,-11.093486368604792,0.0
245,-54.84628834066911,-9.046759732232616,0.13696571978078698,2.814827453483238,1.4496108052096657,3.9932315779306906,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-54.31487577105975,-8.456925082526764,0.0
246,-53.28242127690005,-10.345650061623054,2.405395253407393,-0.31811172473367044,1.9270840894770738,-0.1622133784474702,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-54.933389369129465,-9.747275448462855,0.0
247,-52.90099464820861,-10.897960089094246,0.8482978467279492,-0.6588680528265314,-0.10462759983651204,-0.2663261516308485,1.25508490545444,1.25508490545444,2.5250641494612154,2.5250641494612154,3.4855409435879707,3.4855409435879707,-50.979768573868434,-10.871028066435471,0.0
248,-51.5314700507228,-11.429007305466826,1.41256137233335,-0.6208219633066779,0.28541922175920376,-0.08883923226955151,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-51.66206346115609,-13.778225797835947,0.0
249,-47.80174264120584,-9.899995090505534,4.233938347210964,1.8493852193861233,1.7641983887743988,1.4034034997782616,1.25508490545444,1.25508490545444,2.5250641494612176,2.5250641494612176,3.4855409435879703,3.4855409435879703,-47.78260325925154,-9.799398293812935,0.0
250,-44.72902799073317,-8.309967133710872,3.6151133443961134,2.1319545537048965,0.37459899909263683,0.7498176064319689,1.2550849054544402,1.2550849054544402,2.525064149461216,2.525064149461216,3.4855409435879703,3.4855409435879703,-45.312819236308485,-8.658106237016506,0.0
251,-40.661074134734086,-6.898211177149032,4.2993992979615845,1.6046041889403788,0.555185058149681,0.005069636454157922,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-42.29373705536885,-6.7250621523878085,0.0
252,-41.421508022795,-14.960661711519691,-1.3701833422239584,-9.6674758432316,-3.074629665888212,-6.570912937691658,1.25508490545444,1.25508490545444,2.525064149461217,2.525064149461217,3.4855409435879707,3.4855409435879707,-43.684260749405865,-15.92362908065061,0.0
253,-44.60294791105358,-19.280649120517538,-4.764297272230186,-6.170224942652869,-3.2609287765046817,-0.6999196548493742,1.2550849054544402,1.2550849054544402,2.5250641494612163,2.5250641494612163,3.48554094358797,3.48554094358797,-45.241717619238436,-17.290063138532055,0.0
254,-46.27156031577249,-17.65744240131085,-2.5133589436669874,2.627078034376593,-0.04682387420185696,4.838143806680178,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.4855409435879707,3.4855409435879707,-44.063003236709406,-17.779963778160056,0.0
255,-44.88985482316928,-11.487191369576028,2.009736551061524,8.776203680094842,2.6180081993622304,5.6026094723723014,1.25508490545444,1.25508490545444,2.5250641494612163,2.5250641494612163,3.4855409435879703,3.4855409435879703,-44.30211374105743,-12.720669825523522,0.0
256,-43.862195736036,-17.10335586507043,1.955773041090684,-5.673291639216874,1.0599159583708513,-6.090264663359934,1.25508490545444,1.25508490545444,2.5250641494612167,2.5250641494612167,3.48554094358797,3.48554094358797,-43.88433107607051,-16.751125078352537,0.0
