n,x1,x2,y1,y2
57,-22.96245282025256,-83.02781823079991,-31.07049179114942,-94.54842188880781
58,-24.183205153477005,-86.54272101995817,-38.62883888161028,-106.1224558457136
59,-25.524362852010636,-90.16459234992874,-1.8315951926333582,-76.90660064779983
60,-26.97626599411853,-93.91512897651022,30.058724510186654,-98.99391950597925
61,-28.52367946085663,-97.77001734152007,-0.5676319359354842,-135.36994111492317
62,-30.15038595487995,-101.70709450958311,-31.268647486969854,-124.71521471248413
63,-31.853138362983284,-105.70131458056296,-20.40558708095306,-136.4441198770103
64,-33.64426883502514,-109.74334215108539,-30.77365255190252,-110.79219952578471
65,-35.50188482991719,-113.8249662296247,-19.691040359575485,-145.32672955973123
66,-37.39777867039732,-117.96009281398459,-14.30052954507293,-101.3849812882855
67,-39.32464086704121,-122.13625677662417,-59.520159856751704,-77.55615502390316
68,-41.274188116938625,-126.32965890783133,-14.623557529193349,-80.05780505549598
69,-43.22196941945502,-130.55542713493932,-49.27090280008298,-130.03718868321937
70,-45.154349395499736,-134.84254119551878,-31.661282795123604,-156.1521349120199
71,-47.05004048437533,-139.17674441723082,-58.069636474245314,-134.01552037452495
72,-48.9283082569102,-143.5813896353789,-115.04130894329391,-114.41511297128532
73,-50.808486076525455,-148.06821813886796,-48.89710149938979,-140.24007821437135
74,-52.72585959599273,-152.6415294541323,-109.94459822409218,-137.9463219914862
75,-54.701125889508944,-157.3095176925936,-44.697523121232294,-162.88438303284144
76,-56.74023180905051,-162.08816676130388,-39.12292699280947,-158.22362011700852
77,-58.861953310712195,-166.99273827243218,-74.67666591831069,-135.35245964098442
78,-61.08487138893841,-172.0513939172415,-24.117045540701127,-181.12252092098984
79,-63.40739624667124,-177.2910775699633,-58.05354263798614,-173.56377531439236
80,-65.8093779605792,-182.72578395306462,-52.43391952629493,-153.88476178486667
81,-68.28186912349902,-188.33249533996107,-54.47926176976291,-212.92488071217772
82,-70.79599332688353,-194.09712967646965,-85.21380569551343,-210.3133519150501
83,-73.35693998318868,-200.02308257182753,-97.48346122941831,-181.57158244991544
84,-75.968703953579,-206.12786803776322,-70.43288972931161,-224.23895341030652
85,-78.63062867521919,-212.42294408469792,-97.44145569634864,-220.7817096380443
86,-81.34361540134465,-218.8853374820864,-67.85021888531179,-215.95880587176146
87,-84.09695687858103,-225.49403712619952,-82.4649329113185,-250.199345308273
88,-86.8741819501878,-232.25036174389032,-117.34455498022095,-215.99340102021094
89,-89.66702057081237,-239.14159244257638,-90.04032085939818,-251.13112447304385
90,-92.45763978539043,-246.1640433514151,-89.07892884483303,-283.0194454343951
91,-95.25514821447054,-253.32281215786122,-114.05547990446263,-262.05713037394884
92,-98.07901542196191,-260.6021943539815,-88.01521872565611,-257.56738153004085
93,-100.93907221237208,-268.00480111737204,-79.88571657215797,-295.31132730248333
94,-103.81276218048208,-275.5596750838591,-84.00451562051835,-250.77655331769057
95,-106.6820129709889,-283.2791897256853,-123.78422988119006,-288.131481210319
96,-109.53111094246667,-291.2037746116817,-103.39165204775533,-313.3783589642499
97,-112.37409694293346,-299.3570044107891,-113.24505023340868,-346.8885862271814
98,-115.22021889949806,-307.7369151613177,-88.25357180456997,-317.76850578154193
99,-118.06818606106665,-316.32845623136893,-147.05962491542806,-280.900714335361
100,-120.92566323423806,-325.1247998097352,-119.1810981588835,-333.9260875393204
101,-123.8040783048112,-334.11802202481186,-126.03244231122383,-327.2704429672426
102,-126.70947183153544,-343.27340655283956,-167.1776234356231,-394.9831249622593
103,-129.64979934368472,-352.57389725787095,-112.84881476527525,-321.34321583017936
104,-132.59589778189158,-362.0013843115986,-144.43852516355574,-387.37105680397787
105,-135.4989904827449,-371.5489878114894,-164.60438816104744,-377.901981232988
106,-138.35202527362802,-381.23424504326005,-138.81636831535533,-329.65990084076407
107,-141.16360123614132,-391.0580258130454,-208.4679266522141,-379.5788282241882
108,-143.93781139660996,-401.025855665125,-152.8636720068224,-407.5408418319736
109,-146.6824418799294,-411.1196374142359,-119.44452004909724,-445.04519230519725
110,-149.40052367743908,-421.33772550346305,-137.22794539404705,-461.30770451206195
111,-152.1033387498152,-431.68825014261773,-161.47957242141155,-452.1790530941698
112,-154.79260692101417,-442.1605112875935,-168.7585637754754,-440.8396420215087
113,-157.45166632307306,-452.75578535293306,-158.00447045038678,-453.40483950790747
114,-160.072326422615,-463.49076439650116,-170.33180389467577,-487.91545848031666
115,-162.62527373473188,-474.3643668787245,-169.1217245770412,-483.33993077075417
116,-165.102569776454,-485.3910040096182,-176.42999347738314,-487.8213844761547
117,-167.50474366240965,-496.5825146557771,-189.66092658088905,-536.2097099080974
118,-169.84236684103894,-507.92087910297903,-156.64569309931687,-497.07814225064476
119,-172.12197424665337,-519.4193102021878,-126.39116791881807,-522.8850931709013
120,-174.3399706680362,-531.1038144071451,-153.9322590811823,-539.9318105801365
121,-176.48565823649287,-542.9886111705357,-185.93048377857843,-555.5162059922612
