t,x1_100,x2_100,x1_990,x2_990,x1_950,x2_950,x1_925,x2_925,x1_900,x2_900
33,3.7365662016832037,3.403335533001788,3.6131563491996275,3.2932797693438562,3.1004411706070414,2.836795476301029,2.7862778573634097,2.5573406289813585,2.4938498462713072,2.297243450238732
34,3.9963268412095387,3.650804179966928,3.8603481837549913,3.5294281932081857,3.295952261613107,3.0260458079749872,2.951556252261454,2.718828062181629,2.632583586679932,2.4340680775616046
35,4.265749880617557,3.9105056931481066,4.11641160407664,3.777048789096473,3.4972347808420947,3.223700515934612,3.121038221535916,2.8870960528108807,2.7743678160367757,2.576421302453497
36,4.544444667349101,4.181577056546712,4.3809203077905865,4.035138562571466,3.7037232917763756,3.4281516812809487,3.2940867535698697,3.0601732790818574,2.9184974687118714,2.722010036816696
37,4.832361243288102,4.464345257713926,4.653821195163488,4.304040910183528,3.9153821888249807,3.6398756327413793,3.4707187798612598,3.238677075770293,3.065073095995932,2.871618044817471
38,5.1291632956549,4.758875124493735,4.934752290592725,4.5838137877089,4.1317658991270285,3.8589764027183167,3.6504656653394805,3.4228186958386577,3.2136174619749496,3.025615081713649
39,5.435094730417931,5.064904623772757,5.224005294756722,4.874149000699723,4.353436207015256,4.084963739965243,3.8341247936309406,3.61201320930102,3.3651956899108844,3.1833331814635137
40,5.749657629506322,5.382023662335245,5.521020710217778,5.17456654608387,4.579570225480312,4.317056689680851,4.020712987603279,3.805295096407001,3.5186638713293985,3.3436209794675227
41,6.072642935756705,5.710477693142572,5.825568503543261,5.485327487528185,4.809857271302361,4.555627083554702,4.209880658943475,4.003157256564648,3.6736348704588,3.5071250113393284
42,6.403760730909903,6.05011474615094,6.137350464947677,5.806258046961066,5.044035040876544,4.800458626637518,4.401464462611179,4.205411263024022,3.8300937838608387,3.6737119326144545
43,6.743265860370522,6.400645295348423,6.456681974163494,6.137021604243928,5.282712940880848,5.051047202984439,4.596274130866286,4.41148814857958,3.9890293527251055,3.8427728102655108
44,7.091190108713241,6.762518600386886,6.783626192137978,6.478114314563961,5.526140737977564,5.308174489656178,4.794718975787651,4.622426876817951,4.151019837434165,4.015641217900063
45,7.447195642344556,7.135237197646051,7.117803526959591,6.828949074125773,5.77373486775975,5.570857800656521,4.996059716336673,4.836987837192073,4.315140567537724,4.19080806887805
46,7.8113695595038175,7.519155375316715,7.45932449835088,7.189924580031191,6.025758507108398,5.839768336999203,5.200702272886993,5.056082218783062,4.481959386050609,4.369446683496003
47,8.183553663757795,7.914008025677762,7.80798925840637,7.560737048080271,6.281775560514315,6.1144592956915185,5.408014349053352,5.279194299280906,4.650616000128066,4.550977423870964
48,8.563783584352633,8.319834052534839,8.163828978676776,7.941435074565057,6.541802314241943,6.395074855428085,5.618010797939892,5.506570889057429,4.821121114297519,4.735757099568081
49,8.951878663386703,8.73646476507192,8.526624621946997,8.331827514391282,6.8054824558249845,6.681346405970982,5.830290459656989,5.73790911114363,4.993061248800757,4.923447181840147
50,9.347431703973037,9.164000406567768,8.895871559093802,8.732030199861125,7.07185989544368,6.9735229146571385,6.043595628005125,5.9735953700963655,5.164871477247297,5.114588154439354
51,9.751319973396368,9.602369086919161,9.272550124486449,9.141948807953382,7.342490512197722,7.271437908880156,6.259950017603671,6.21343600564042,5.339087518323962,5.308958757654359
52,10.163303962562809,10.051519735928087,9.656361190010104,9.561514381284654,7.616831503796093,7.574986445013829,6.478664170961594,6.4573378028727975,5.514869059182807,5.506489209441776
53,10.58357071595151,10.511043169499251,10.047492609658093,9.990243974290552,7.895106756193224,7.883370154195923,6.7000084628344645,6.7043043754098655,5.692537949745407,5.70597566321522
54,11.01205006348419,10.981172424789783,10.445828889392985,10.428389889577506,8.17699859078018,8.196978008514685,6.92353364660109,6.954842442757894,5.871506393184588,5.908037473574682
