t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,reset
283,24.94746904187586,36.30566139538335,0.16535873998056946,-0.0030877230789881534,0.0015741177040515535,-0.015516801335060688,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,25.31792256350783,35.949682933636424,0.23628846488839478,0.061499448207158205,0.0
284,24.908712868951365,36.33729130614201,0.12695670382862986,-0.01031749586078188,-0.002325534562380588,-0.014708406165376494,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,25.54000303237211,36.003761275283516,0.22066502684423997,0.04869360377265109,0.0
285,25.1626650898015,35.90408208759897,0.1496347124106665,-0.10609682425301914,0.0001135475975292898,-0.022616830941371818,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,25.762785499533866,36.046622982303504,0.2193328105426324,0.03797950662978166,0.0
286,25.75991344863181,35.49604094383193,0.23706612350054518,-0.18541640683938426,0.008631358127641632,-0.028148153808546496,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,25.987392415143198,36.08840458092856,0.22009146534749074,0.03967763223179267,0.0
287,25.828345849408137,35.24121670721436,0.2119552397361629,-0.2243601161974847,0.005339820613984287,-0.029201254434931614,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,26.213313764118695,36.121275299247976,0.2360083245032764,0.02809323247007449,0.0
288,26.06674939307693,35.55156742914385,0.22193419931926234,-0.14639129576606752,0.00579236612049735,-0.01874687138318074,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,26.448630833206426,36.14411307638598,0.2322882951551962,0.021850610868144014,0.0
289,26.659580945554445,35.31878553169822,0.2995231971113334,-0.1801641332279819,0.012796088850523957,-0.020212646277017465,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,26.68166242466517,36.1629743175766,0.23413807348755475,0.01746653065027514,0.0
290,27.15296048598417,35.37593202281923,0.3488921980420703,-0.15210599970466798,0.01636375671565679,-0.015503857719495993,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,26.912448737061027,36.181809441656895,0.2306759956074307,0.016396670752922393,0.0
291,26.953759291319926,35.851590196675744,0.2567272489007313,-0.04362135077154257,0.005776839942902947,-0.0034088457100560528,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,27.143943091301125,36.204799942981516,0.23620161229722186,0.022882198418513185,0.0
292,27.572067211526456,35.57449608934049,0.33248456049713704,-0.09224794859903039,0.012603397241853144,-0.0078198130623163,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,27.37850879887867,36.23066928989469,0.23490010752500046,0.017430527184886697,0.0
293,27.976783446716155,36.08985836258705,0.35795082501430425,0.019239156317000447,0.01385816301305994,0.0038185124947474666,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,27.619241105256947,36.25013514913645,0.24423692425920418,0.032901471224922534,0.0
294,28.47758587482213,36.06801545302229,0.3983273254976521,0.014670108198401602,0.016445012543171062,0.003000310476776922,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,27.855268214320077,36.28062943960837,0.2364138681090008,0.026453537642804874,0.0
295,28.119899433896258,35.82495638416762,0.26567066489632196,-0.032904944669566796,0.0019002246753497438,-0.001933288963615646,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,28.086744205396975,36.299128416177254,0.23579113420908054,0.01942703218416944,0.0
296,28.937425367731628,36.21420493470987,0.3750518918846403,0.04771204960183304,0.012384938531966814,0.0061194466815319235,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,28.32250995265128,36.315949698220074,0.2417759903924794,0.0176385743735738,0.0
297,29.11061613636511,36.53719590592557,0.3468457987469995,0.10694116848125443,0.008425305266159743,0.01130026658486859,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,28.569969452962166,36.338495983913475,0.2529092910943554,0.01740048272164825,0.0
298,28.781168930146325,37.01623951885426,0.22250518363297273,0.18973588602720393,-0.004525938722460007,0.018274511749424786,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,28.818862986883136,36.35112899389327,0.24753787154357038,0.0019277985672402562,0.0
299,29.03979709118383,36.915405854180804,0.2254683017539244,0.14953792282383196,-0.0037953852630637957,0.012570553327236623,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,29.05914868175764,36.35380969147838,0.22923144055796824,0.003105808540227739,0.0
300,29.442504885139098,37.21233751412961,0.256622388186027,0.18963858470694156,-0.000386083132657972,0.015256100581526658,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,29.294360847215263,36.35988966679024,0.24189493918597285,0.013697470089239026,0.0
301,30.169054131297457,37.16245107066258,0.34795619077999645,0.1566753860500929,0.008561142294260768,0.010552333925082319,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,29.541115851189602,36.36847486804939,0.25050599031129395,0.011914886932508372,0.0
302,30.30454098385536,37.38337236966351,0.3142296593592943,0.1787326538626433,0.004436002511210237,0.01167463402606347,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,29.78606902109177,36.37665784901413,0.23932066128621643,0.0027570090896814944,0.0
303,30.995678302934678,36.774102630841035,0.3917672104138224,0.03553001609011927,0.011567019178886126,-0.0034335603781281473,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,30.02200764391233,36.38912821113286,0.2395265820914965,0.015883205724882846,0.0
304,31.350407825994495,35.67628021024546,0.39497986021973686,-0.18868444124621642,0.010752054948528138,-0.024970617902709477,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,30.261347819063005,36.403894461253586,0.23850211747823216,0.019720307728724365,0.0
305,31.84974184858582,35.540760153243845,0.42504244261270174,-0.20084687476058102,0.012635786494738706,-0.023721186417659187,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,30.493814814125027,36.42109572586794,0.22845890721691225,0.010923344752343567,0.0
306,31.39713064563066,35.826929748140785,0.26521633458800553,-0.127237683879514,-0.004187778379927268,-0.014226660561245665,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,30.71617755474091,36.4365772421634,0.2213397145246869,0.012461664246901694,0.0
307,31.94748252670665,35.5829589661146,0.31706670954631805,-0.16285104300833675,0.0012787132805601792,-0.01631292148171823,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,30.930197175585214,36.43798536353888,0.21293677392688498,0.0039238452741833536,0.0
308,32.2585843114078,36.354745581264055,0.3170569346268548,0.004774152007412824,0.001153021950984228,0.0016301426626356696,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,31.140509027600277,36.437864596826955,0.20195056527420538,-0.0006974830781510217,0.0
309,31.661495816542196,36.05297421231658,0.13974869183731145,-0.05356142562603728,-0.016255778255828215,-0.004219481038115142,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,31.337398146880762,36.433315396933374,0.19057325786446508,-0.011466610267128263,0.0
310,31.47740853895967,35.74209543855075,0.06189860737201605,-0.10757163586006539,-0.022264269634822302,-0.009076539840110212,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,31.529256824696336,36.428158042893834,0.19069946113237202,0.0008356131649747151,0.0
311,32.05111723002064,36.56664774636609,0.1416598009649818,0.06609361268132319,-0.012311740676101437,0.008749823141204316,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,31.71895665835255,36.42841168840553,0.18992385595232963,-0.0017961449769189142,0.0
312,31.862139113046428,36.224891859391796,0.06604196251355908,-0.005581102531406451,-0.018487216399899916,0.0009044527636917609,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,31.910871546314898,36.417550529226375,0.19289868188011502,-0.016188674545209173,0.0
313,31.412657830484495,36.27313346261561,-0.0512198653961108,0.005735873237810975,-0.028122626525336522,0.0019201887718142518,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,32.09921510248856,36.40520627664448,0.18790302047954652,-0.0037288034607819744,0.0
314,31.408493401261197,36.60179617968038,-0.06741867997537568,0.07047142782478383,-0.02695946509546224,0.008047793857342906,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,32.284167370076915,36.40666822424905,0.17895049141818645,0.007763376370365827,0.0
315,32.088016239712935,36.52723148908905,0.05397922144769213,0.0494377733383118,-0.012487283937914874,0.0052109142427200755,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,32.46065601823149,36.415584528433854,0.1753704406073573,0.0080384304349245,0.0
316,32.4631653565722,37.65835771609548,0.10536996578163436,0.26517661722183167,-0.00625601670237937,0.025747800330573965,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,32.630402456948616,36.426756524884055,0.15549507978495408,0.01306740806111826,0.0
