t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,reset
268,-57.00727124819778,-8.591360067390088,-0.012944520373759816,3.209301078376895,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-55.810409434590376,-7.418142953364443,0.0
269,-55.45630775730367,-5.034106809616881,1.4118958757202282,3.5263122564901646,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-53.698390434489255,-6.8553475244447695,0.0
270,-58.287046306690485,-5.000531214582633,-2.4534701632008953,0.3441607154118107,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-58.20522992033133,-7.845531677082052,0.0
271,-59.42424027932346,-7.196222725416964,-1.2542413880906436,-1.969839869015718,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-59.99416920300416,-9.27626054011195,0.0
272,-56.168617384719866,-8.12390382307976,2.854591589671717,-1.0203531307493825,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-56.6248315987789,-8.665608307522927,0.0
273,-55.06781324083051,-9.126221121609033,1.2567564351044407,-1.0039211014105525,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-57.714411613745874,-7.244676092107115,0.0
274,-58.37422014427943,-7.927483292491974,-2.9006360789698933,1.002870474833479,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-58.54649466447857,-5.6833437906932245,0.0
275,-55.781785734176715,-4.541489196418589,2.103973319428934,3.174079254354719,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-55.607594861559214,-5.744275120671161,0.0
276,-52.0949855948161,-8.04727387997494,3.5460502042651925,-2.9117901897381286,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-52.065473030570466,-7.566262074207489,0.0
277,-51.071902587027495,-7.4889934335714345,1.2474331796964124,0.24971086022822053,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-51.29318509660811,-7.185698877970939,0.0
278,-46.83488898838341,-3.5424430302416816,3.9711707125931652,3.6178158132928053,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-46.400183367303114,-4.962610554403935,0.0
279,-42.66167455175749,-4.982237023708935,4.155248073732681,-0.990055435164225,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-43.58422557041126,-5.359189734926918,0.0
280,-39.23399921845889,-3.6455215932091063,3.492373387882814,1.1298116529038262,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-38.87644286745385,-2.995504048664397,0.0
281,-42.04820118695035,-1.1614914246981158,-2.2534014684579975,2.3636088022714716,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-43.41697245306482,-1.8639701432363796,0.0
282,-43.248525581666875,-6.151263709870211,-1.2939673175638853,-4.335886529790309,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-43.59754098672228,-7.737258605765077,0.0
283,-48.049836544660536,-8.559285680263958,-4.48942694369654,-2.579453745614452,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-48.606222098682366,-7.311639810448942,0.0
284,-49.13388407947667,-7.450550673459974,-1.3868645737616125,0.7807696722609654,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-47.920210145176696,-6.88426180764323,0.0
285,-48.89421383396941,-6.43410206998556,0.09503365775193329,0.9954912922550588,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-50.394504139101656,-7.21764018511117,0.0
286,-50.67712085591858,-9.103959903366562,-1.615914635004153,-2.343923470228372,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-51.101646780663266,-7.725971137216318,0.0
287,-54.898840546169325,-4.1875095048566235,-3.9900033156109016,4.270835137304347,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-53.418604329742536,-4.0458157470900655,0.0
288,-52.05935970397615,-4.960013487703442,2.2321816482184236,-0.32403441884479367,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-52.07815768286785,-3.938907647063296,0.0
289,-46.994587475353185,-5.368757915286902,4.812889372379065,-0.4012117473927014,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-46.72291221606207,-6.309608913451306,0.0
290,-46.61572045415764,-1.548532950825762,0.7731542232330142,3.4448415455546417,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-46.63744613562201,-0.8195689322320794,0.0
291,-40.38617372778433,-6.239526775935251,5.744347157474618,-3.967529775885562,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-41.003057290904295,-7.854112252484066,0.0
292,-41.49444140426052,-9.410138135707205,-0.4989116300868979,-3.2414758497666187,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-41.246008248808295,-10.532480752092523,0.0
293,-39.4619430218983,-13.041249247821687,1.8073974487253475,-3.5964635201001403,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-41.32188186140043,-10.771134623303132,0.0
294,-34.4085991136188,-5.541299200404353,4.764704148229707,6.513222080874888,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-35.073876679006666,-6.276061022093301,0.0
295,-34.60397799395665,-3.3112816976446684,0.2456872903559928,2.6108935144487875,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-36.08544768161078,-4.683647518565365,0.0
296,-37.93997737438986,-6.256785196423045,-3.0175045456871943,-2.451411214563815,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-37.808092147913534,-6.767057211966614,0.0
297,-37.804059155317965,-2.8314213747061814,-0.1444940432673376,2.902782516857121,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-37.990540336799334,-2.1022252734709124,0.0
298,-37.080499070077515,-5.805201475033288,0.646369984145208,-2.4512176844409783,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-36.68043205246215,-6.484175393244035,0.0
299,-39.932742675274355,-6.944386101073536,-2.541135889922531,-1.25585472885094,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-39.1851321673333,-7.2684008900521135,0.0
300,-45.26808946445112,-7.857319557286094,-5.086876774794573,-0.9434270934563175,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-44.61969239279665,-8.956289842285404,0.0
301,-46.651028970915256,-11.049369289468254,-1.712305248534081,-2.992095140517851,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-43.77454004793518,-13.282150978859132,0.0
302,-44.38770001758369,-13.787844230465195,1.909803066083911,-2.7610276461772827,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-45.95006338930707,-14.898549871584269,0.0
303,-52.10190948696434,-13.809207870707551,-6.858412029846094,-0.2649831734489285,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-51.10942805536989,-13.044150693069398,0.0
304,-53.13014852109338,-15.5740172536898,-1.5466763390880747,-1.6314401230051272,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-52.60182058587512,-15.14803687386773,0.0
305,-54.21183147542157,-19.169956554466026,-1.1230316274114371,-3.421249860159959,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-54.95346954164845,-19.309987178806388,0.0
306,-55.614719905000996,-20.109727155995447,-1.3780026832393104,-1.16043153562198,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-55.537895833293625,-18.825784737985817,0.0
307,-54.1691055565628,-24.56477419784047,1.1945294483478102,-4.162079477215764,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-54.000533368075196,-22.91116963145332,0.0
308,-52.017329204622506,-20.041674584793412,2.0666549489830506,3.750786193882628,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-50.705269004182995,-18.58097237994629,0.0
309,-50.16711400974777,-17.25397974572872,1.869461698003947,2.873335948991951,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-49.76824979856972,-16.8767532209262,0.0
310,-50.85697513635626,-13.362428915461953,-0.46227809799391517,3.801007963133136,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-49.66395936629085,-12.22386106014312,0.0
311,-44.18471769070568,-9.055109360186915,6.037832123777855,4.26229673734281,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-43.1532644746768,-10.519625448218891,0.0
312,-38.84558489315143,-4.480580574751481,5.401263337407901,4.546764130483703,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-39.51134302677116,-7.3482500366579115,0.0
313,-36.01698110047764,-8.644029678350098,3.057372764354195,-3.388909569692262,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-38.27625909655155,-9.406015044021046,0.0
314,-32.935012713018494,-10.489806589443457,3.079781267357279,-1.9829971166183031,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-35.48347308450323,-9.647771513681455,0.0
315,-32.598484328348675,-6.447089341478862,0.5804670520758046,3.5068917899683787,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-33.87961236143359,-6.625486011017244,0.0
316,-32.09305635163734,-12.132350593686956,0.5121006871141274,-4.86786611599897,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-30.776549012996146,-13.924493921107228,0.0
317,-28.358278838203937,-16.24070633624957,3.4482069622991123,-4.175893791842118,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-28.431146564964603,-16.6808662184542,0.0
318,-24.2804115551787,-19.42533240198033,4.021875908505701,-3.2727727071418413,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-25.53146977030638,-20.290859543941895,0.0
319,-28.247300884704842,-20.477700584933626,-3.2565032186854976,-1.2498135311933547,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-28.595808157752487,-19.628590190564314,0.0
320,-31.63564704981931,-19.113849417927664,-3.376622275982066,1.1314358882146736,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-30.615490579192446,-16.636942706536402,0.0
321,-29.65569381465925,-16.544763501173758,1.5036297068794866,2.441245558188612,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-30.908070131100654,-17.62995622480283,0.0
322,-34.580422784788894,-18.596368489318376,-4.353099114503255,-1.652086598118145,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-36.03435226047833,-18.94524424888638,0.0
323,-30.489929680561055,-20.49735012126511,3.3396623489024373,-1.8788491033492842,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-31.50850228526356,-21.507257571108763,0.0
324,-32.294841438259716,-26.76815331823062,-1.3474400605556083,-5.8802568365966374,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-30.3504394822398,-25.300267414795847,0.0
325,-31.43177093674971,-23.27775697709668,0.6665049554751534,2.6571284119083023,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-30.835161926261545,-22.039221460162075,0.0
326,-25.73808579391652,-20.418642173262946,5.246652481916961,2.841153539091649,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-26.097216412322336,-21.655148164620723,0.0
327,-25.130757759838026,-22.12301765720356,1.019871343742686,-1.3001727582161688,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-25.554854873563524,-22.769973224188277,0.0
328,-17.29844528216084,-29.482531846301317,7.226528802945137,-6.820698506688234,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-17.44522939419152,-30.05386093492129,0.0
329,-13.752709508866491,-32.018275769058846,3.8730434569267196,-2.9167755504633974,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-15.10386687311347,-31.47046677352571,0.0
330,-23.996781272012534,-34.87744956138139,-8.988733512657221,-2.864295921678462,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-25.927259645546584,-36.42310171224096,0.0
331,-23.404721756706316,-38.2584927541222,-0.2598947097976527,-3.3350924014433176,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-23.649863246929733,-38.716470240679364,0.0
332,-23.158961195243453,-41.6104268562474,0.20079610564599265,-3.3504364851730326,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-24.00414420389207,-42.00655901388797,0.0
333,-25.649043806190377,-44.64138937005189,-2.250801218983619,-3.0593711433327293,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-26.37470855354409,-43.816154894324875,0.0
334,-26.622228764219553,-42.56857067967285,-1.0867946110510731,1.6164482417007164,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-26.594460424490283,-42.93037550169769,0.0
335,-25.391210648236978,-47.57363601306179,1.0249109242258627,-4.416259537207427,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-24.384933950369312,-47.97327482420272,0.0
