t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,x3_real,x4_real,reset
107,1.0458925600077988,4.205082123193272,0.13740408121877118,0.13740408121877118,2.4521321377115237,11.4339349660255,0.06528764660834521,0.13786957425303079,0.0
108,1.0588693001055831,4.273421698194438,0.1369824877290786,0.1369824877290786,2.522764288830246,11.568631448864362,0.07666749736410511,0.12987872502974848,0.0
109,1.074583676921754,4.34815611290572,0.13656891752409342,0.13656891752409342,2.5863734012712554,11.690786320909897,0.057285313874684635,0.11361668877253993,0.0
110,1.106173560699896,4.427175938047859,0.1361631834007187,0.1361631834007187,2.644196944923949,11.810884153650331,0.06182089017447215,0.12700937927447056,0.0
111,1.1091061837131857,4.525991182937111,0.13576510383682314,0.13576510383682314,2.7084667151483326,11.93492742405645,0.065531689480883,0.12210765804596736,0.0
112,1.1323349178510493,4.618294567404705,0.13537450276855595,0.13537450276855595,2.7813444786632218,12.062990559924696,0.06820925748016149,0.1359115857056066,0.0
113,1.1262611318913962,4.686044213832069,0.13499120937839656,0.13499120937839656,2.84949443219553,12.194925988525549,0.06586772058675279,0.13410939598418076,0.0
114,1.1454598469089403,4.761244172546266,0.13461505789333086,0.13461505789333086,2.9147156593233494,12.329886107009415,0.064553767491435,0.13216825749267933,0.0
115,1.1398682666912405,4.86929280348562,0.13424588739258472,0.13424588739258472,2.983326243654787,12.466812900927824,0.07412501623453982,0.13987335865225284,0.0
116,1.1847239648154333,4.93221673574524,0.13388354162438226,0.13388354162438226,3.058051208619205,12.609544855292253,0.06739050816563104,0.14134111460825666,0.0
117,1.2319397972877544,4.991536293079454,0.13352786883123047,0.13352786883123047,3.125492513303616,12.75877799533393,0.06727427920442385,0.14904759082907038,0.0
118,1.2678458826795322,5.091870256089661,0.13317872158326255,0.13317872158326255,3.1898614934550418,12.907383537339129,0.06886064678342947,0.14625199788529836,0.0
119,1.2854541047588324,5.197194552203392,0.1328359566192029,0.1328359566192029,3.2544936591811027,13.056081922575846,0.061351787238763084,0.14791146676779648,0.0
120,1.3037393460172801,5.28357868951191,0.13249943469454242,0.13249943469454242,3.309521705743282,13.19826975972803,0.05436339470383136,0.14164971883326302,0.0
121,1.3136835013663444,5.378075202460375,0.13216902043653928,0.13216902043653928,3.3644300767021322,13.347081490030536,0.05214290400895053,0.15337763939599425,0.0
122,1.335318372936297,5.476910384532083,0.13184458220568304,0.13184458220568304,3.412289803398372,13.496263875887609,0.04781081019398068,0.14877420660304472,0.0
123,1.3565415596764034,5.543448159431847,0.13152599196328266,0.13152599196328266,3.4570571868170674,13.642105948131272,0.046180062959058854,0.1414757089990099,0.0
124,1.3687133894903545,5.639437877447366,0.13121312514485878,0.13121312514485878,3.499638622851643,13.780280891315561,0.04478889309381681,0.13548390766092835,0.0
125,1.4159894940456321,5.734991035439429,0.13090586053903988,0.13090586053903988,3.5360278273514116,13.920203488764873,0.019092903828313287,0.14396303783491435,0.0
126,1.4532970916721426,5.819133266841946,0.13060408017168013,0.13060408017168013,3.5486683170290902,14.066931018107368,0.004236255952520836,0.14691926800344426,0.0
127,1.4695088676348638,5.880910448216251,0.13030766919493264,0.13030766919493264,3.5386499667100586,14.213223460509024,-0.020475740348372504,0.14881254646733794,0.0
128,1.4917864384460526,5.9575924488780725,0.130016515781028,0.130016515781028,3.5342180760285182,14.375887295491129,0.0008065278691156974,0.1681486496909938,0.0
129,1.5169707445154998,6.0548728976124915,0.12973051102052177,0.12973051102052177,3.5390670575069705,14.537372761146461,5.5691291372713466e-05,0.1548852472410745,0.0
130,1.535288566384626,6.131932718746366,0.12944954882478912,0.12944954882478912,3.531600385604735,14.681781202670667,-0.015425560921454959,0.13598572253302338,0.0
131,1.5654465901790016,6.1881071855445695,0.1291735258325563,0.1291735258325563,3.5189043488156377,14.82093343016804,-0.014722168484190558,0.1437005102195533,0.0
132,1.58104453955334,6.268399004250735,0.12890234132027154,0.12890234132027154,3.4966309346469373,14.95685439636327,-0.02507487078209244,0.13619993981242617,0.0
133,1.577192506927855,6.354750221237727,0.12863589711612844,0.12863589711612844,3.486914230495509,15.090929663367298,-0.005187405558390708,0.13750323480418242,0.0
134,1.61949138590418,6.425966694923216,0.12837409751756548,0.12837409751756548,3.487705421153272,15.227094716583949,0.00357398138392071,0.13507754433373673,0.0
135,1.6418067715521634,6.519459508247258,0.12811684921207536,0.12811684921207536,3.493015325170279,15.36145993266139,-0.0009565044870516815,0.1359374568550687,0.0
136,1.6479617437386411,6.592128382215938,0.12786406120116628,0.12786406120116628,3.495071326013522,15.492509196227234,0.008025154492069895,0.12850540074553563,0.0
137,1.6729779827658826,6.692590672555566,0.12761564472732687,0.12761564472732687,3.522046305006078,15.619546734201267,0.033873558949939445,0.13023949148841998,0.0
138,1.7150780361792746,6.78176840468424,0.1273715132038534,0.1273715132038534,3.5468591912713405,15.759942348970734,0.018698031013730656,0.1441185047700272,0.0
139,1.7439701314141782,6.887365144623812,0.12713158214740675,0.12713158214740675,3.569369010137678,15.90578867209263,0.01937691562442896,0.14905399272694753,0.0
140,1.7808660288977798,6.9815685387595865,0.1268957691131722,0.1268957691131722,3.5887587110643357,16.056395899868708,0.016573444288741607,0.14708868803257277,0.0
141,1.7971275438535814,7.065010983992134,0.12666399363250366,0.12666399363250366,3.609028941368453,16.199524866330272,0.01833138843559233,0.14230320102158237,0.0
142,1.8222821401624227,7.158364634714962,0.12643617715293795,0.12643617715293795,3.629974282698908,16.351103880432742,0.022094351263765015,0.160548356315063,0.0
143,1.8398365106485097,7.240434755516079,0.12621224298047323,0.12621224298047323,3.6491444733811207,16.51076586613183,0.015684417754285744,0.15475233906515187,0.0
144,1.8704847772579845,7.327493264476248,0.12599211622400902,0.12599211622400902,3.6646008054498336,16.664799885811252,0.017241315176005505,0.14916688171669779,0.0
145,1.8868542571794917,7.439445961684631,0.12577572374185172,0.12577572374185172,3.6857494581069186,16.81121603400516,0.02234252272350816,0.14729713821707152,0.0
146,1.9203712628643306,7.525613101856057,0.12556299409019409,0.12556299409019409,3.7130428312977664,16.973579599960644,0.031145442948332665,0.1706556321507107,0.0
147,1.9480636872856905,7.638852414765847,0.12535385747348213,0.12535385747348213,3.7555301216934738,17.150626053447144,0.048422116306494144,0.19009012731473776,0.0
148,1.9437430229611723,7.724437437537671,0.12514824569658653,0.12514824569658653,3.799033327681648,17.343951954912658,0.03586332365915529,0.19489828318357738,0.0
149,1.959727552099977,7.810577753853745,0.12494609211870071,0.12494609211870071,3.831725095395148,17.538288085119305,0.0375388467902464,0.18646261124496644,0.0
150,1.9538157022187947,7.891538955255761,0.12474733160889102,0.12474733160889102,3.873627975656249,17.73573249458439,0.05016031208890234,0.1980259159158742,0.0
151,1.9694306293167512,7.978659253115043,0.12455190050322829,0.12455190050322829,3.9135505269453827,17.93091690587476,0.034758237347045785,0.19439339094470826,0.0
152,1.9799844885800875,8.060797731611435,0.12435973656343352,0.12435973656343352,3.9456761330953434,18.12580767132188,0.03205672343070055,0.19659495552579015,0.0
153,1.9962649801719743,8.143438332526207,0.12417077893697413,0.12417077893697413,3.9804780744088095,18.319990348342127,0.033091567772001444,0.1987271309489352,0.0
154,2.008756215376683,8.23802238178719,0.1239849681185493,0.1239849681185493,4.00888814671429,18.51240270080255,0.019730224219849223,0.1917826801528619,0.0
155,2.0111555483005614,8.332708241744937,0.12380224591290714,0.12380224591290714,4.031683106031389,18.70000991277412,0.026599572280193978,0.17322961917571705,0.0
156,2.027028799006818,8.416610779849393,0.12362255539893836,0.12362255539893836,4.065754774316667,18.87092048963242,0.03790758046303492,0.17048212335280585,0.0
157,2.0390658209476156,8.493701120657063,0.12344584089499377,0.12344584089499377,4.100548087885021,19.053393276884606,0.03716423934280352,0.19013742859238777,0.0
158,2.060217675497925,8.585240893129408,0.12327204792537597,0.12327204792537597,4.135856796674219,19.235826037269074,0.039333866968049275,0.18331427365885417,0.0
159,2.086969170018562,8.669307964559215,0.12310112318795724,0.12310112318795724,4.178509300847982,19.417760487806397,0.042664323131366075,0.17667955438812485,0.0
160,2.1214593084378564,8.77244114158146,0.12293301452287861,0.12293301452287861,4.217209340510024,19.59875816607407,0.04059427228568529,0.182495762362092,0.0
161,2.151759345127927,8.870648247995458,0.12276767088228654,0.12276767088228654,4.2571880726998375,19.781266410599553,0.04742476832020872,0.18148582766003116,0.0
162,2.1642199503641897,8.964877824997387,0.12260504230106585,0.12260504230106585,4.3071997469452095,19.959066541245875,0.05165028251504111,0.16857009217492816,0.0
163,2.1985702276726813,9.063436098353273,0.12244507986852989,0.12244507986852989,4.354483000877567,20.118323856443105,0.047935834314425094,0.15661307298821428,0.0
164,2.2111195093240394,9.15946165948223,0.1222877357010299,0.1222877357010299,4.397151444544519,20.27060658780438,0.04451963716931039,0.14677991952477581,0.0
165,2.231854653260258,9.269652765664219,0.12213296291544809,0.12213296291544809,4.445490600326709,20.413363641471136,0.050590346852179655,0.14011675879694815,0.0
166,2.260629178003421,9.394351006873583,0.12198071560353976,0.12198071560353976,4.499135807262904,20.552068399549633,0.05460531932950705,0.1387855170191777,0.0
167,2.2866531313359477,9.495680547718091,0.12183094880709208,0.12183094880709208,4.556004978511542,20.699956336535287,0.06859593411271984,0.15311178172477719,0.0
168,2.2982193491752243,9.603388841803085,0.12168361849386808,0.12168361849386808,4.6304371836957685,20.848291770447545,0.0831470178266488,0.1483943350703536,0.0
169,2.291574456648619,9.709283020127296,0.12153868153430596,0.12153868153430596,4.712001818612002,20.992598928047677,0.08082040893566651,0.14299677183796167,0.0
170,2.3134213821839555,9.793371969599937,0.1213960956789453,0.1213960956789453,4.804053717506165,21.136602219152717,0.09316741393198207,0.14123149137135163,0.0
171,2.3335441024508876,9.898625903827728,0.12125581953655257,0.12125581953655257,4.898832453805994,21.27616015933099,0.10459179814792038,0.13644436628767903,0.0
172,2.3628661277860235,10.00810245632662,0.12111781255292019,0.12111781255292019,4.999245233434457,21.411828235568493,0.0980448028717841,0.13902730519147116,0.0
173,2.386148098874594,10.100016547830704,0.1209820349903138,0.1209820349903138,5.097512777850827,21.55210558937858,0.10005005140355934,0.14622155090005345,0.0
174,2.427765207844386,10.208759098705622,0.12084844790754404,0.12084844790754404,5.192503770981667,21.702761765219783,0.0942426713464293,0.15790096146019225,0.0
175,2.444666999159019,10.29937722874825,0.12071701314063978,0.12071701314063978,5.287431407661146,21.859312907991253,0.08494983280906915,0.15657962041946596,0.0
176,2.4685921922149805,10.391866735736766,0.12058769328410111,0.12058769328410111,5.372700554322991,22.022734490034246,0.0928847012952083,0.16902100971567277,0.0
177,2.476370476231596,10.50238792862447,0.12046045167271087,0.12046045167271087,5.4661339761468914,22.201554111604487,0.09311647165165841,0.1847987944691526,0.0
178,2.5017109605723626,10.59530651827373,0.12033525236388469,0.12033525236388469,5.554659349845094,22.386670463462426,0.09124857096513819,0.18492056960626005,0.0
179,2.527869895699772,10.711179235694983,0.12021206012054031,0.12021206012054031,5.6533990688289615,22.57607276389067,0.10911628448605368,0.1981461770494793,0.0
180,2.547316407210328,10.80434849502237,0.12009084039446767,0.12009084039446767,5.765563231259584,22.770727036375558,0.11118448460874354,0.18281916074036555,0.0
181,2.573774138670829,10.90839258813842,0.11997155931018216,0.11997155931018216,5.87121291029896,22.94589092572371,0.1059377087881283,0.1680844371042874,0.0
182,2.5914467269429315,11.004116256771455,0.11985418364924386,0.11985418364924386,5.965615660770682,23.110685330799374,0.08876093037184776,0.16741318510891448,0.0
183,2.6159558360043085,11.09384710333961,0.1197386808350266,0.1197386808350266,6.052246759471433,23.279509677584624,0.09023806611983992,0.17195197950134264,0.0
184,2.655052952996839,11.214760752469083,0.1196250189179215,0.1196250189179215,6.155967382828489,23.45360809177688,0.11929359966146968,0.17803982262085144,0.0
185,2.6857025993921466,11.317510546244081,0.11951316656095935,0.11951316656095935,6.27830303350969,23.62779020298265,0.1283499336586345,0.16803915973996764,0.0
186,2.714569806680505,11.424829880081127,0.11940309302583815,0.11940309302583815,6.412844613060623,23.794668287583402,0.13337805760742702,0.16408802190701727,0.0
187,2.753604053970525,11.52252777845357,0.11929476815934152,0.11929476815934152,6.554798625440674,23.959119673381974,0.153037740756286,0.16379352298205463,0.0
188,2.782176220754042,11.644215303234992,0.11918816238013505,0.11918816238013505,6.711774615018094,24.13145769958565,0.15518502563380368,0.1842430484702535,0.0
189,2.8078347981799174,11.73920903234715,0.11908324666592754,0.11908324666592754,6.870688420136475,24.311935526209304,0.15384094516906496,0.1764016009611248,0.0
190,2.848742072875418,11.857404871826853,0.11897999254098517,0.11897999254098517,7.0232014856886025,24.486475184684725,0.1515433753968275,0.17178457322758545,0.0
191,2.891205873080864,11.96574553195074,0.11887837206398676,0.11887837206398676,7.179045166748121,24.659174352231066,0.1656572200370741,0.17337554796917767,0.0
192,2.9337155104419996,12.065729333171031,0.11877835781620877,0.11877835781620877,7.3368115305080694,24.836582062109485,0.15335094136506117,0.1818808605591346,0.0
193,2.977504620939442,12.175759599099175,0.11867992289002924,0.11867992289002924,7.491858982361712,25.01852297356748,0.1538810592291552,0.18964845245264364,0.0
194,2.9980704516779637,12.27506066962662,0.11858304087774027,0.11858304087774027,7.644231716509412,25.202339025519375,0.1464712509145658,0.1712991058049232,0.0
195,3.033606889000671,12.398403308754382,0.11848768586065883,0.11848768586065883,7.7923418339838975,25.375690412233745,0.14712376899696053,0.1728727003096047,0.0
196,3.078646802010052,12.504995161225933,0.11839383239852655,0.11839383239852655,7.945269461396793,25.546905741015216,0.15176015615514543,0.1757744414907422,0.0
197,3.1160699741170705,12.61227066954045,0.11830145551918891,0.11830145551918891,8.10202574609997,25.722769289257826,0.15647372237420215,0.17496155278193137,0.0
198,3.160812006577361,12.717715519702876,0.11821053070854498,0.11821053070854498,8.255725253543435,25.896822878443672,0.1591219025119918,0.17321483384295805,0.0
199,3.205553277230642,12.844899312667671,0.11812103390075927,0.11812103390075927,8.415203231206789,26.07001769173235,0.15979554958910427,0.1717100866892084,0.0
200,3.2592911242951392,12.966713182894347,0.1180329414687271,0.1180329414687271,8.586188488894464,26.24488454200221,0.17112624619696387,0.17769258682368053,0.0
201,3.2975425482766583,13.07462491856418,0.11794623021478587,0.11794623021478587,8.760828702374866,26.409246752601348,0.17942148405813607,0.15860770786765402,0.0
202,3.341715938731874,13.189290398314322,0.11786087736166422,0.11786087736166422,8.939172868313184,26.560256952277474,0.18066955378146252,0.13954942349849023,0.0
203,3.4024315020153506,13.27189725778875,0.11777686054366188,0.11777686054366188,9.111610554147173,26.70375831547002,0.17123290317662943,0.13701744550783607,0.0
204,3.4643553708681334,13.38244598232013,0.11769415779805312,0.11769415779805312,9.28541312381123,26.82500362550256,0.16565236368813627,0.1086925825550297,0.0
205,3.5133190635885825,13.494416209024164,0.11761274755670671,0.11761274755670671,9.456735215553111,26.936870004049247,0.17246305612033622,0.11023541452281137,0.0
206,3.566164094894603,13.611950210977298,0.11753260863791604,0.11753260863791604,9.625190763832922,27.0398420107717,0.1632967647322071,0.09458519465482415,0.0
207,3.605021405321216,13.71777420786392,0.11745372023843278,0.11745372023843278,9.785464962467119,27.132349139282667,0.16011059474614867,0.09367330403455504,0.0
208,3.645234645808454,13.813154367028746,0.11737606192569819,0.11737606192569819,9.931958688164917,27.227885228261066,0.1399135195042811,0.08888861220406628,0.0
209,3.7052629158233072,13.90945405932512,0.11729961363026575,0.11729961363026575,10.073102399926771,27.317186271551662,0.146668663794609,0.08531151157163296,0.0
210,3.753056863881624,14.02210223000856,0.11722435563840992,0.11722435563840992,10.22305337170645,27.402061865547683,0.15221125094213542,0.0885191178720803,0.0
211,3.8172830866589735,14.134832610245805,0.11715026858491501,0.11715026858491501,10.38025356587094,27.497809914438157,0.1692323242520632,0.10456807966192522,0.0
212,3.8775203675468286,14.23461244951924,0.11707733344603907,0.11707733344603907,10.550520213276833,27.61127551186285,0.1629114845084642,0.1210042961650172,0.0
213,3.938380557424845,14.351969437850732,0.11700553153264784,0.11700553153264784,10.713886971217217,27.72384240854604,0.16603789187281023,0.10834945255586115,0.0
214,4.014418890502062,14.458588457226176,0.11693484448351323,0.11693484448351323,10.885553158661226,27.83828780703589,0.1772655063351543,0.10815998256811979,0.0
215,4.053581727838837,14.56607585073218,0.11686525425877223,0.11686525425877223,11.05283791553478,27.944631242026382,0.1560712344381341,0.10403633232663839,0.0
216,4.114045961857694,14.660279256454162,0.11679674313354113,0.11679674313354113,11.213631616263706,28.040352220579475,0.1675416549779419,0.0889965178574072,0.0
217,4.186246435693959,14.756832966456908,0.11672929369168068,0.11672929369168068,11.387458854971818,28.129310293146954,0.1818692315511548,0.08038895528987965,0.0
218,4.240914657788138,14.879433334134513,0.11666288881970814,0.11666288881970814,11.579671207054263,28.214511590776173,0.19727236724297492,0.08274468944985705,0.0
219,4.301728839897734,14.976146717687273,0.11659751170085167,0.11659751170085167,11.767303806594718,28.30039073491584,0.18462960966043407,0.08417964968395789,0.0
220,4.36264683402512,15.075938891896069,0.11653314580924322,0.11653314580924322,11.955151880044175,28.386521625439432,0.18149625105433617,0.0875677766517325,0.0
221,4.438469494916033,15.190255191003006,0.11646977490424607,0.11646977490424607,12.141642537807094,28.482133223403046,0.1922997089283359,0.10327788721235495,0.0
222,4.507030098815202,15.303497348429099,0.11640738302491321,0.11640738302491321,12.334276255693144,28.581475590481766,0.1876203606512706,0.0858038443301268,0.0
223,4.579959275362433,15.418741240692734,0.11634595448457284,0.11634595448457284,12.51372137523629,28.673574320593843,0.17308053682847008,0.10245848781434698,0.0
224,4.624237883443511,15.519684277987468,0.11628547386553746,0.11628547386553746,12.684552368365352,28.778430905899135,0.16567439639616313,0.10726408645471792,0.0
225,4.69133970689843,15.6246670940101,0.11622592601393344,0.11622592601393344,12.853041446897333,28.88053004963756,0.17237882088664397,0.09295399947904824,0.0
226,4.7559856078631615,15.72076146812984,0.11616729603464733,0.11616729603464733,13.030528176645259,28.97473265918683,0.1753789887642709,0.09592648854730351,0.0
227,4.817321402957967,15.811695903647209,0.11610956928638602,0.11610956928638602,13.217304332039685,29.070774988668266,0.19461995007227664,0.09766134702802617,0.0
228,4.897424760687373,15.926010021658572,0.1160527313768477,0.1160527313768477,13.404722356064427,29.169136100078855,0.1913478948734391,0.093951507150722,0.0
229,4.984153754248308,16.033929137100635,0.11599676815800036,0.11599676815800036,13.602474111205286,29.257603674463525,0.1973579133646781,0.08985186858648891,0.0
230,5.042956073757334,16.14002157210314,0.11594166572146518,0.11594166572146518,13.80611419596078,29.3407014061675,0.21078937388946126,0.0771240327890932,0.0
231,5.115688442665559,16.238248863775212,0.115887410394002,0.115887410394002,14.010783082716609,29.423070878127124,0.2018069207055558,0.08592864496138611,0.0
232,5.196472296272001,16.342592644890257,0.11583398873309395,0.11583398873309395,14.218652532457881,29.513888251469883,0.21217974668992504,0.09278022923371157,0.0
233,5.24642839184421,16.4563476581973,0.115781387522629,0.115781387522629,14.438211970540419,29.61954395259781,0.22479943520121384,0.11596439449844148,0.0
234,5.3253452858259065,16.57117493345541,0.11572959376867542,0.11572959376867542,14.657729863498746,29.734979246948452,0.221361294485642,0.11874435384410825,0.0
235,5.405741185571237,16.67738979701246,0.11567859469534916,0.11567859469534916,14.874228053077307,29.857514930061807,0.21185624751778576,0.12694723055447468,0.0
236,5.480461746049055,16.795580969326743,0.11562837774077027,0.11562837774077027,15.081822886998179,29.988294987884373,0.20360392449292586,0.127481947354793,0.0
237,5.563210199409191,16.900608469690432,0.11557893055310657,0.11557893055310657,15.28547916983655,30.11124795004594,0.19936587100162978,0.12562136495608323,0.0
238,5.640093020771054,17.02245497910685,0.11553024098670196,0.11553024098670196,15.481142924218116,30.238720423931124,0.19310910480340496,0.1235587506844455,0.0
239,5.716039580105204,17.12750691647302,0.1154822970982873,0.1154822970982873,15.674582158784366,30.369229141052386,0.2035964741235424,0.13472232853403335,0.0
240,5.805615611499927,17.226692950460407,0.11543508714327183,0.11543508714327183,15.890230319770824,30.50024556309929,0.22146476429524448,0.1288415746783919,0.0
241,5.903654288250035,17.335410657557752,0.11538859957211292,0.11538859957211292,16.104573551792093,30.63210432701099,0.20201088486994123,0.13269518323095425,0.0
242,5.998625523326463,17.440889013829075,0.11534282302676242,0.11534282302676242,16.302244332360516,30.764960500884957,0.19771662446084254,0.13813803125491408,0.0
243,6.073664285939718,17.546046645262827,0.1152977463371875,0.1152977463371875,16.50842652189896,30.90938838376988,0.2164505789219237,0.14230051373320043,0.0
244,6.1429534396056145,17.641482237858224,0.11525335851796407,0.11525335851796407,16.73110274335502,31.052743224089856,0.22752306000943218,0.14769489591478688,0.0
245,6.22362374901845,17.72537645036353,0.11520964876494123,0.11520964876494123,16.958468445072963,31.19957302135664,0.22569278535574336,0.14405531625742854,0.0
246,6.311517995324591,17.818128401053283,0.11516660645197468,0.11516660645197468,17.181221492768067,31.344107130834786,0.22364563274144672,0.13941696073056462,0.0
247,6.395035750712494,17.93361224434002,0.11512422112772773,0.11512422112772773,17.41129573739191,31.47570857028501,0.2345336750873738,0.12866388106971322,0.0
248,6.475064717847423,18.033790608338556,0.11508248251253785,0.11508248251253785,17.63723932797005,31.60514555498752,0.2278150380437835,0.12862072311051811,0.0
249,6.539899697537053,18.151156828890507,0.11504138049534753,0.11504138049534753,17.860065113244797,31.74000549992566,0.21932519566678185,0.1432872003199804,0.0
250,6.630627464929915,18.25509958814591,0.11500090513069776,0.11500090513069776,18.079510597715394,31.889997599574386,0.216178055005269,0.15379559143988478,0.0
251,6.705008114640632,18.373567027260833,0.11496104663578247,0.11496104663578247,18.304337532733232,32.04212300077973,0.23237904283016264,0.15009023155419118,0.0
252,6.792813570330795,18.500099371322474,0.11492179538756266,0.11492179538756266,18.53063217301539,32.18743594946385,0.22913461723193768,0.1529666632845045,0.0
253,6.890361800631861,18.615776221117816,0.1148831419199388,0.1148831419199388,18.752025378649503,32.337838209502884,0.22095499165177548,0.14340995989012045,0.0
254,6.976710142339871,18.719756939082963,0.11484507692097988,0.11484507692097988,18.987618234842337,32.47047478333918,0.2468970898429897,0.12756657562901777,0.0
