t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,reset
74,-22.696708613112808,25.582858851630334,1.2136807377036614,1.2136807377036614,-23.461716798254386,25.066950414330336,0.0
75,-25.266679253679257,26.008345002234776,1.2136807377036614,1.2136807377036614,-24.63054206072405,26.16449148571575,0.0
76,-27.52161894131806,21.07702570657552,1.2136807377036614,1.2136807377036614,-27.796792910078096,22.558375144985,0.0
77,-33.872478383959425,20.947735705786144,1.2136807377036614,1.2136807377036614,-32.25481088059976,19.628212861772706,0.0
78,-33.91951455579642,19.849048511568885,1.2136807377036614,1.2136807377036614,-33.17826606221992,19.218731179791554,0.0
79,-35.03749665751454,18.252416064710374,1.2136807377036614,1.2136807377036614,-35.77278935249266,15.329073926592454,0.0
80,-39.337290805155774,19.087083681447282,1.2136807377036614,1.2136807377036614,-36.535169255567794,18.95976333516747,0.0
81,-38.174087004676025,16.06921396280012,1.2136807377036614,1.2136807377036614,-39.22524037171259,17.121170042162213,0.0
82,-35.345382565717706,19.468162152726457,1.2136807377036614,1.2136807377036614,-36.57597039653287,22.43382565365807,0.0
83,-40.5515461364516,25.894843237881965,1.2136807377036614,1.2136807377036614,-41.424133259539886,26.297442896183426,0.0
84,-41.95951585885922,29.966491939788682,1.2136807377036614,1.2136807377036614,-42.66093563930588,31.98413194024931,0.0
85,-43.874924242462626,31.13591450786362,1.2136807377036614,1.2136807377036614,-42.59170526323638,30.765123139054733,0.0
86,-50.74862643536557,34.35742235777199,1.2136807377036614,1.2136807377036614,-49.376068287377066,33.86534820175039,0.0
87,-54.4326093080584,35.84315124209918,1.2136807377036614,1.2136807377036614,-55.459114069799,33.598624088451984,0.0
88,-50.421201505534356,35.24531857038149,1.2136807377036614,1.2136807377036614,-49.41175146607129,34.759012134606415,0.0
89,-52.39197774115868,36.368553479548126,1.2136807377036614,1.2136807377036614,-52.81699265463122,38.34386168709079,0.0
90,-60.47311830711482,39.24803750228419,1.2136807377036614,1.2136807377036614,-58.99557932636197,40.424995544045544,0.0
91,-52.42929408618315,38.3737645067345,1.2136807377036614,1.2136807377036614,-51.8056052258823,40.40881024878089,0.0
92,-48.9164631931796,40.49349023766546,1.2136807377036614,1.2136807377036614,-48.34671395721118,39.53803756000664,0.0
93,-52.542317761864865,31.104715206612234,1.2136807377036614,1.2136807377036614,-52.02222117695983,31.391976300426457,0.0
94,-55.40428644049406,32.71625315410531,1.2136807377036614,1.2136807377036614,-55.52558959636628,31.66126562334016,0.0
95,-56.19974332751197,28.033396810300957,1.2136807377036614,1.2136807377036614,-55.52619967494564,28.35133154021806,0.0
96,-48.31693981643877,32.973104993963446,1.2136807377036614,1.2136807377036614,-48.90182329561494,34.374207132094114,0.0
97,-47.797667287954084,34.87778703398265,1.2136807377036614,1.2136807377036614,-45.908351910071744,33.9217597708301,0.0
98,-46.050887047837584,31.610482823962034,1.2136807377036614,1.2136807377036614,-45.578691290486766,32.59601441054742,0.0
99,-39.48426218846443,31.786988010342803,1.2136807377036614,1.2136807377036614,-39.37733431023455,32.435437434090225,0.0
100,-36.21986346967973,29.555982096818934,1.2136807377036614,1.2136807377036614,-35.94485831630311,30.28574792203324,0.0
101,-33.671251846985896,27.461916437128377,1.2136807377036614,1.2136807377036614,-34.34514820567063,26.59098467335547,0.0
102,-29.730576160242933,24.903677837686605,1.2136807377036614,1.2136807377036614,-30.309668100112255,24.159322984888014,0.0
103,-33.25194341032474,27.741658832841328,1.2136807377036614,1.2136807377036614,-32.69836871517495,25.898151538443848,0.0
104,-36.92910747240913,28.12422797248799,1.2136807377036614,1.2136807377036614,-37.39629115807432,28.9820747217359,0.0
105,-39.94535472886402,31.131171580901274,1.2136807377036614,1.2136807377036614,-38.8101195837387,30.626374700074113,0.0
106,-40.95222022771847,31.28689860209261,1.2136807377036614,1.2136807377036614,-41.37053525262792,33.45354522218752,0.0
107,-44.166834822712744,31.613065054980094,1.2136807377036614,1.2136807377036614,-43.963746827040396,31.081745456490182,0.0
108,-48.26111104653415,34.3382217583162,1.2136807377036614,1.2136807377036614,-48.857168285804036,32.88105551180848,0.0
109,-43.966480897958256,34.35231074272906,1.2136807377036614,1.2136807377036614,-43.90940021894129,35.126041556086186,0.0
110,-46.42684297795615,31.467826854472044,1.2136807377036614,1.2136807377036614,-43.42976077087315,33.30777577748594,0.0
111,-47.656892934950726,32.993768196654614,1.2136807377036614,1.2136807377036614,-47.15904491640877,32.56637148519891,0.0
112,-47.021967106975154,24.387802217627264,1.2136807377036614,1.2136807377036614,-47.98729714427543,23.62495403356128,0.0
113,-51.35258024266971,20.728666887492388,1.2136807377036614,1.2136807377036614,-50.76901657464667,19.47592140154815,0.0
114,-45.35632188469497,19.384090010061573,1.2136807377036614,1.2136807377036614,-45.37179685763673,18.80399224922756,0.0
115,-44.63837969263126,19.165119000693345,1.2136807377036614,1.2136807377036614,-43.74403453819131,20.69302003257542,0.0
116,-46.0403988399774,20.52834974089943,1.2136807377036614,1.2136807377036614,-45.24189910108578,21.608103878848457,0.0
117,-51.469434338525595,24.59889380009357,1.2136807377036614,1.2136807377036614,-51.47507310909643,25.25056318462067,0.0
